127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005561
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003043
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001365
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002473
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001799
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001141
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.006810
127.0.0.1, 2018-01-29 23:37:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004821
127.0.0.1, 2018-01-29 23:37:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002003
127.0.0.1, 2018-01-29 23:37:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.003999
127.0.0.1, 2018-01-29 23:38:02, GET, /simpleNN, HTTP/1.1, 500, 6.409760
127.0.0.1, 2018-01-29 23:38:05, GET, /admin/default/ticket/simpleNN/127.0.0.1.2018-01-29.23-37-55.c112043c-1c78-48a0-9612-7141f80c0a96, HTTP/1.1, 200, 0.314011
127.0.0.1, 2018-01-29 23:38:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028162
127.0.0.1, 2018-01-29 23:38:34, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 3.645235
127.0.0.1, 2018-01-29 23:39:20, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.018410
127.0.0.1, 2018-01-29 23:39:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.568216
127.0.0.1, 2018-01-29 23:39:36, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 6.427831
127.0.0.1, 2018-01-29 23:39:40, GET, /simpleNN, HTTP/1.1, 500, 17.970662
127.0.0.1, 2018-01-29 23:40:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039806
127.0.0.1, 2018-01-29 23:40:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.594489
127.0.0.1, 2018-01-29 23:40:53, GET, /admin/default/ticket/simpleNN/127.0.0.1.2018-01-29.23-39-22.2a216a18-cac6-4ffd-95f2-623470e7fe6f, HTTP/1.1, 200, 0.070486
127.0.0.1, 2018-01-29 23:41:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103670
127.0.0.1, 2018-01-29 23:41:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.509686
127.0.0.1, 2018-01-29 23:42:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.156001
127.0.0.1, 2018-01-29 23:42:33, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 3.535437
127.0.0.1, 2018-01-29 23:43:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.015042
127.0.0.1, 2018-01-29 23:43:33, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 3.431131
127.0.0.1, 2018-01-29 23:44:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076325
127.0.0.1, 2018-01-29 23:44:34, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 3.736132
127.0.0.1, 2018-01-29 23:45:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046749
127.0.0.1, 2018-01-29 23:45:33, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 3.488465
127.0.0.1, 2018-01-29 23:46:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064109
127.0.0.1, 2018-01-29 23:46:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.493433
127.0.0.1, 2018-01-29 23:47:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116693
127.0.0.1, 2018-01-29 23:47:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.520667
127.0.0.1, 2018-01-29 23:48:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057374
127.0.0.1, 2018-01-29 23:48:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.520833
127.0.0.1, 2018-01-29 23:49:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057727
127.0.0.1, 2018-01-29 23:49:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.481227
127.0.0.1, 2018-01-29 23:50:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039112
127.0.0.1, 2018-01-29 23:50:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.502687
127.0.0.1, 2018-01-29 23:51:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041038
127.0.0.1, 2018-01-29 23:51:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.475164
127.0.0.1, 2018-01-29 23:52:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051916
127.0.0.1, 2018-01-29 23:52:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.485661
127.0.0.1, 2018-01-29 23:53:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067441
127.0.0.1, 2018-01-29 23:53:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.486135
127.0.0.1, 2018-01-29 23:54:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035579
127.0.0.1, 2018-01-29 23:54:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.487128
127.0.0.1, 2018-01-29 23:55:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057251
127.0.0.1, 2018-01-29 23:55:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.508786
127.0.0.1, 2018-01-29 23:56:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.176921
127.0.0.1, 2018-01-29 23:56:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.658302
127.0.0.1, 2018-01-29 23:57:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048098
127.0.0.1, 2018-01-29 23:57:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.579288
127.0.0.1, 2018-01-29 23:58:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058173
127.0.0.1, 2018-01-29 23:58:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.639813
127.0.0.1, 2018-01-29 23:59:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106899
127.0.0.1, 2018-01-29 23:59:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.581772
127.0.0.1, 2018-01-30 00:00:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114595
127.0.0.1, 2018-01-30 00:00:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.573382
127.0.0.1, 2018-01-30 00:01:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049252
127.0.0.1, 2018-01-30 00:01:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.494837
